"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andhra Pradesh","Anantapur","2024-03-27","2024","03","14.1810315609","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-28","2024","03","14.1757293758","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-31","2024","03","14.1539953433","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-29","2024","03","14.1694732002","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2024-03-30","2024","03","14.164137207","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-01","2024","03","15.7824243107","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-02","2024","03","15.7138766159","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-03","2024","03","15.6533865548","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-04","2024","03","15.5922876678","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-05","2024","03","15.5279001653","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-06","2024","03","15.4664382537","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-07","2024","03","15.4084494117","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-08","2024","03","15.3514722753","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-09","2024","03","15.2965186494","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-10","2024","03","15.2450893482","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-11","2024","03","15.1967642627","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-12","2024","03","15.1460873758","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-15","2024","03","15.1339219999","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-16","2024","03","14.9807576687","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-13","2024","03","15.1848169539","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-14","2024","03","15.1691105131","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-17","2024","03","14.9470723826","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-18","2024","03","14.9132809691","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-19","2024","03","14.8811839431","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-20","2024","03","14.8522110792","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-21","2024","03","14.8248522856","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-22","2024","03","14.8029445414","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-23","2024","03","14.7785896102","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-24","2024","03","14.7556102319","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-25","2024","03","14.7393075445","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-26","2024","03","14.7215213441","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-27","2024","03","14.7087047436","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-28","2024","03","14.6957790622","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-31","2024","03","14.6657123863","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-29","2024","03","14.6848997068","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2024-03-30","2024","03","14.6745129835","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-01","2024","03","14.4817623769","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-02","2024","03","14.4579232108","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-03","2024","03","14.4361209358","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-04","2024","03","14.4163607539","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-05","2024","03","14.3976461346","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-06","2024","03","14.3783824271","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-07","2024","03","14.3588599491","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-08","2024","03","14.3417773197","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-09","2024","03","14.3251073874","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-10","2024","03","14.3111439003","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-11","2024","03","14.2986588193","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-12","2024","03","14.3016196324","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-15","2024","03","14.2698336229","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-16","2024","03","14.2399006992","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-13","2024","03","14.4344579222","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-14","2024","03","14.3158725988","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-17","2024","03","14.2275527633","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-18","2024","03","14.2176493773","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-19","2024","03","14.2123183382","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-20","2024","03","14.2156685666","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-21","2024","03","16.6105121581","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-22","2024","03","16.3382903681","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-23","2024","03","16.2004770559","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-24","2024","03","16.1519228503","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-25","2024","03","16.0017066496","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-26","2024","03","15.8590870239","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-27","2024","03","15.7344933262","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-28","2024","03","15.6207876381","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-31","2024","03","15.3600603297","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-29","2024","03","15.5280299341","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2024-03-30","2024","03","15.4380618871","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2024-03-01","2024","03","16.3154935991","NRSC VIC MODEL"
